,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,countyname,price_sqft,price_sqft_cat
136,SOMA / south beach,Stylish Studio with Loft in Near Downtown SF!,2700.0,,4075580805,-122.409709,SF,/sfc/apa/4075580805.html,37.780181,565.0,Sep,18,2013,60750176012003,6075,San Francisco,4.778761061946903,4
138,SOMA / south beach,"Ultimate SOMA Loft, Ground Floor",5250.0,,4075357563,-122.40938700000001,SF,/sfc/apa/4075357563.html,37.777977,2000.0,Sep,18,2013,60750178021010,6075,San Francisco,2.625,3
139,downtown / civic / van ness,Large One Bedroom! W/D in Every Home!!! Parking Available!!,3404.0,1.0,4075621852,-122.417501,SF,/sfc/apa/4075621852.html,37.776540999999995,822.0,Sep,18,2013,60750176014001,6075,San Francisco,4.141119221411192,4
140,lower pac hts,"2000 Post III, Large Studio now  with w/d",2721.0,,4075570789,-122.435675,SF,/sfc/apa/4075570789.html,37.784944,567.0,Sep,18,2013,60750155002002,6075,San Francisco,4.798941798941799,4
141,potrero hill,Modern 2-Level 2Bed/2bath Sierra Heights Condo,4350.0,2.0,4076743833,-122.395381,SF,/sfc/apa/4076743833.html,37.758338,1000.0,Sep,18,2013,60750614002007,6075,San Francisco,4.35,4
143,lower pac hts,"Open House Sat, 9/21 12pm-4pm (2br, 1ba + garage)",3500.0,2.0,4076730011,-122.43346000000001,SF,/sfc/apa/4076730011.html,37.787021,1078.0,Sep,18,2013,60750152003006,6075,San Francisco,3.2467532467532467,4
144,pacific heights,Spectacular Bay&City View/Doorman/2Park/Sm Pet/Corner Luxury Condo,6500.0,2.0,4076617601,-122.42998899999999,SF,/sfc/apa/4076617601.html,37.794895000000004,1400.0,Sep,18,2013,60750131022002,6075,San Francisco,4.642857142857143,4
149,SOMA / south beach,"Air-conditioning?  Pool? Dog Grooming Station?  YES, WE HAVE IT!",3124.0,,4075687503,-122.389927,SF,/sfc/apa/4075687503.html,37.773886,549.0,Sep,18,2013,60750607001028,6075,San Francisco,5.6903460837887065,4
154,inner sunset / UCSF,Beautiful 4 bed/3bath with panoramic view ,5500.0,4.0,4061343857,-122.47059499999999,SF,/sfc/apa/4061343857.html,37.748869,2448.0,Sep,17,2013,60750303023014,6075,San Francisco,2.246732026143791,2
156,SOMA / south beach,Beautiful 2 BR Loft Style Apartment at Mint Plaza in SOMA ,4300.0,2.0,4068497160,-122.407859,SF,/sfc/apa/4068497160.html,37.782740999999994,830.0,Sep,17,2013,60750176015004,6075,San Francisco,5.180722891566265,4
