,saletype,solddate,proptype,address,city,state,zip,price,beds,baths,location,sqft,lotsize,yrbuilt,daysonmkt,pricesqft,hoamonth,status,nextopenstart,nextopenend,url,source,mls,favorite,interested,latitude,longitude,county,fips_code
223,PAST SALE,February-28-2017,Condo/Co-op,553 Page St,San Francisco,CA,94117.0,1620000.0,3.0,2.0,Hayes Valley,1700.0,,1900.0,5.0,953.0,250.0,Sold,,,http://www.redfin.com/CA/San-Francisco/553-Page-St-94117/home/12277414,San Francisco MLS,453755,N,Y,37.7729308,-122.4297726,San Francisco,060750168011000
224,PAST SALE,February-28-2017,Single Family Residential,108 Bosworth St,San Francisco,CA,94112.0,1290000.0,6.0,3.0,Bernal Heights,2468.0,1873.0,1909.0,5.0,523.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/108-Bosworth-St-94112/home/1415297,San Francisco MLS,452456,N,Y,37.7337086,-122.42815449999999,San Francisco,060750255001003
225,PAST SALE,February-28-2017,Condo/Co-op,3236 Divisadero St,San Francisco,CA,94123.0,2291000.0,3.0,2.5,Marina,1900.0,,1924.0,5.0,1206.0,294.0,Sold,,,http://www.redfin.com/CA/San-Francisco/3236-Divisadero-St-94123/home/2015741,San Francisco MLS,453927,N,Y,37.7995885,-122.4425277,San Francisco,060750128004000
226,PAST SALE,February-22-2017,Single Family Residential,30 Clarendon Ave,San Francisco,CA,94114.0,2500000.0,3.0,2.0,Clarendon Heights,1917.0,2217.0,1959.0,11.0,1304.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/30-Clarendon-Ave-94114/home/1138844,San Francisco MLS,453448,N,Y,37.7590818,-122.44952350000001,San Francisco,060750301023009
227,PAST SALE,February-28-2017,Single Family Residential,1590 22nd Ave,San Francisco,CA,94122.0,1325000.0,2.0,1.0,Central Sunset,1600.0,2247.0,1930.0,5.0,828.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/1590-22nd-Ave-94122/home/2004097,San Francisco MLS,453367,N,Y,37.758051,-122.479684,San Francisco,060750326022003
228,PAST SALE,February-24-2017,Condo/Co-op,2900 22nd St #11,San Francisco,CA,94110.0,845000.0,1.0,2.0,Inner Mission,882.0,,2003.0,9.0,958.0,467.0,Sold,,,http://www.redfin.com/CA/San-Francisco/2900-22nd-St-94110/unit-11/home/868812,San Francisco MLS,453486,N,Y,37.7560006,-122.41256000000001,San Francisco,060750228031000
229,PAST SALE,February-28-2017,Condo/Co-op,15 Red Rock Way Unit 211N,San Francisco,CA,94131.0,700000.0,1.0,1.0,Diamond Heights,830.0,,1972.0,5.0,843.0,525.0,Sold,,,http://www.redfin.com/CA/San-Francisco/15-Red-Rock-Way-94131/unit-211N/home/841388,San Francisco MLS,453975,N,Y,37.746488,-122.440951,San Francisco,060750216002010
230,PAST SALE,February-28-2017,Multi-Family (2-4 Unit),327-329 Frederick St,San Francisco,CA,94117.0,2700000.0,10.0,,Parnassus/Ashbury Heights,4125.0,2875.0,1904.0,5.0,655.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/329-Frederick-St-94117/home/970647,San Francisco MLS,453298,N,Y,37.7667253,-122.44864240000001,San Francisco,060750171021000
231,PAST SALE,March-1-2017,Multi-Family (5+ Unit),104-114 Guerrero St,San Francisco,CA,94103.0,4100000.0,18.0,,Mission Dolores,9504.0,5845.0,1906.0,4.0,431.0,,Sold,,,http://www.redfin.com/CA/San-Francisco/114-Guerrero-St-94103/home/112855316,San Francisco MLS,453342,N,Y,37.769366299999994,-122.4247504,San Francisco,060750202001011
232,PAST SALE,February-28-2017,Single Family Residential,360 Valdez Ave,San Francisco,CA,94127.0,1900000.0,4.0,3.0,Westwood Highlands,,3746.0,1926.0,5.0,,4.0,Sold,,,http://www.redfin.com/CA/San-Francisco/360-Valdez-Ave-94127/home/1509999,San Francisco MLS,453999,N,Y,37.733388,-122.45655500000001,San Francisco,060750310001001
