SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-24-2017,Single Family Residential,3060 Pacific Ave,San Francisco,CA,94115,10250000,6,5.5,Pacific Heights,,,1927,9,,,Sold,,,http://www.redfin.com/CA/San-Francisco/3060-Pacific-Ave-94115/home/1199174,San Francisco MLS,454281,N,Y,37.792233,-122.445654
PAST SALE,February-27-2017,Single Family Residential,145 Joost Ave,San Francisco,CA,94131,1800000,4,2.5,Sunnyside,2575,2495,1978,6,699,,Sold,,,http://www.redfin.com/CA/San-Francisco/145-Joost-Ave-94131/home/1607390,San Francisco MLS,453762,N,Y,37.7322071,-122.4385722
PAST SALE,February-24-2017,Single Family Residential,232 Corbett Ave,San Francisco,CA,94114,2160000,2,2.5,Corona Heights,1900,1694,1914,9,1137,,Sold,,,http://www.redfin.com/CA/San-Francisco/232-Corbett-Ave-94114/home/1147990,San Francisco MLS,452527,N,Y,37.7616352,-122.4435038
PAST SALE,February-24-2017,Single Family Residential,371 Douglass St,San Francisco,CA,94114,2450000,3,2.5,Eureka Valley/Dolore,2005,3123,1914,9,1222,,Sold,,,http://www.redfin.com/CA/San-Francisco/371-Douglass-St-94114/home/1042755,San Francisco MLS,453823,N,Y,37.7579009,-122.438753
PAST SALE,February-24-2017,Single Family Residential,124 Lily St,San Francisco,CA,94102,3250000,4,3.5,San Francisco County,2798,1394,2009,9,1162,,Sold,,,http://www.redfin.com/CA/San-Francisco/124-Lily-St-94102/home/25675664,BAREIS,21701769,N,Y,37.7746039,-122.423077
PAST SALE,March-3-2017,Condo/Co-op,2002 3rd St #219,San Francisco,CA,94107,995000,2,2.0,Central Waterfront,1139,,2002,2,874,467,Sold,,,http://www.redfin.com/CA/San-Francisco/2002-3rd-St-94107/unit-219/home/12397994,San Francisco MLS,453715,N,Y,37.7639982,-122.3891506
PAST SALE,February-24-2017,Multi-Family (2-4 Unit),78-80 Barcelona Ave,San Francisco,CA,94115,1800000,4,2.0,Anza Vista,2934,4038,1948,9,613,,Sold,,,http://www.redfin.com/CA/San-Francisco/80-Barcelona-Ave-94115/home/1937683,San Francisco MLS,451901,N,Y,37.7807942,-122.4444746
PAST SALE,February-3-2017,Single Family Residential,2659 23rd Ave,San Francisco,CA,94116,961000,2,2.0,Parkside,1550,3197,1925,30,620,,Sold,,,http://www.redfin.com/CA/San-Francisco/2659-23rd-Ave-94116/home/1478146,San Francisco MLS,453758,N,Y,37.737975,-122.479965
PAST SALE,February-16-2017,Multi-Family (2-4 Unit),4533 18th St,San Francisco,CA,94114,2620000,5,3.0,Eureka Valley/Dolore,3560,2692,1930,17,736,,Sold,,,http://www.redfin.com/CA/San-Francisco/4533-18th-St-94114/home/675845,San Francisco MLS,450651,N,Y,37.760397,-122.4402145
PAST SALE,February-17-2017,Single Family Residential,478 Anderson St,San Francisco,CA,94110,1080000,2,2.0,Bernal Heights,1155,1751,1914,16,935,,Sold,,,http://www.redfin.com/CA/San-Francisco/478-Anderson-St-94110/home/765195,San Francisco MLS,453729,N,Y,37.7374501,-122.4155007
PAST SALE,February-24-2017,Condo/Co-op,1587 15th St #401,San Francisco,CA,94103,965000,2,1.0,Inner Mission,1048,,2007,9,921,591,Sold,,,http://www.redfin.com/CA/San-Francisco/1587-15th-St-94103/unit-401/home/12277624,San Francisco MLS,453567,N,Y,37.766489,-122.41949
PAST SALE,February-17-2017,Condo/Co-op,3051 b California,San Francisco,CA,94115,2050000,3,4.0,Pacific Heights,2047,,,16,1001,433,Sold,,,http://www.redfin.com/CA/San-Francisco/3051-California-St-94115/unit-A/home/55750719,San Francisco MLS,451183,N,Y,37.787233,-122.444557
PAST SALE,February-22-2017,Condo/Co-op,1570 Chestnut St,San Francisco,CA,94123,1825000,2,1.0,Marina,,,1923,11,,270,Sold,,,http://www.redfin.com/CA/San-Francisco/1570-Chestnut-St-94123/home/559869,San Francisco MLS,453902,N,Y,37.801997,-122.429221
PAST SALE,March-1-2017,Condo/Co-op,4165 Cesar Chavez St,San Francisco,CA,94131,1420000,3,2.0,Noe Valley,,,1977,4,,250,Sold,,,http://www.redfin.com/CA/San-Francisco/4165-Cesar-Chavez-St-94131/home/12243791,San Francisco MLS,454123,N,Y,37.747102,-122.43274
PAST SALE,February-21-2017,Single Family Residential,218 Ordway St,San Francisco,CA,94134,722000,2,1.0,Visitacion Valley,836,1873,1952,12,864,,Sold,,,http://www.redfin.com/CA/San-Francisco/218-Ordway-St-94134/home/1591906,San Francisco MLS,453172,N,Y,37.7199527,-122.4030442
PAST SALE,March-3-2017,Condo/Co-op,855 Folsom St #929,San Francisco,CA,94107,905000,1,1.0,Yerba Buena,,,2001,2,,518,Sold,,,http://www.redfin.com/CA/San-Francisco/855-Folsom-St-94107/unit-929/home/12398161,San Francisco MLS,453863,N,Y,37.7807737,-122.4021633
PAST SALE,February-3-2017,Single Family Residential,61 Prosper St,San Francisco,CA,94114,3225000,4,2.0,Eureka Valley/Dolore,2874,2000,1890,30,1122,,Sold,,,http://www.redfin.com/CA/San-Francisco/61-Prosper-St-94114/home/1855166,San Francisco MLS,453804,N,Y,37.7633754,-122.4313742
PAST SALE,February-3-2017,Single Family Residential,555 Athens St,San Francisco,CA,94112,948000,2,1.25,Excelsior,1500,2500,1925,30,632,,Sold,,,http://www.redfin.com/CA/San-Francisco/555-Athens-St-94112/home/1167656,San Francisco MLS,450813,N,Y,37.719099,-122.430006
PAST SALE,February-3-2017,Single Family Residential,624 Brussels St,San Francisco,CA,94134,785000,2,1.0,Portola,1125,3000,1910,30,698,,Sold,,,http://www.redfin.com/CA/San-Francisco/624-Brussels-St-94134/home/780041,San Francisco MLS,452834,N,Y,37.724268,-122.404731
PAST SALE,March-2-2017,Condo/Co-op,260 King St #517,San Francisco,CA,94107,688000,1,1.0,Mission Bay,759,,2004,3,906,716,Sold,,,http://www.redfin.com/CA/San-Francisco/260-King-St-94107/unit-517/home/12331050,San Francisco MLS,453614,N,Y,37.7772049,-122.3940134
PAST SALE,February-28-2017,Condo/Co-op,4057 23rd St,San Francisco,CA,94114,1652000,2,3.0,Noe Valley,1553,,1906,5,1064,256,Sold,,,http://www.redfin.com/CA/San-Francisco/4057-23rd-St-94114/home/12353043,San Francisco MLS,454286,N,Y,37.7527796,-122.433249
