,neighborhood,title,price,bedrooms,pid,longitude,subregion,link,latitude,sqft,month,day,year,blockfips,countyfips,county_x,tractfips,logrecno,fipsblock,state,county_y,tract,blkgrp,block,arealand,P0010001,H00010001,outlier,view,walk
45,ingleside / SFSU / CCSF,Furnished Luxury Apartment  Walking Distance to Whole Foods Market,5200.0,3.0,4070330851,-122.45614499999999,SF,/sfc/apa/4070330851.html,37.722762,1500.0,Sep,18,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
46,ingleside / SFSU / CCSF, Furnished Luxury Apartment within Walking Distance to Whole Foods Mar,5200.0,3.0,4074462000,-122.45614499999999,SF,/sfc/apa/4074462000.html,37.722762,1500.0,Sep,17,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
47,ingleside / SFSU / CCSF,Furnished Luxury Apartment  Walking Distance to Whole Foods Market,5200.0,3.0,4073671546,-122.45614499999999,SF,/sfc/apa/4073671546.html,37.722762,1500.0,Sep,17,2013,060750312012003,06075,San Francisco,06075031201,592149,060750312012003,06,075,031201,2,2003,18886,285,83,False,0,1
48,lower pac hts,Large Jr. One Bedroom $2395.00,2395.0,1.0,4076816644,-122.426768,SF,/sfc/apa/4076816644.html,37.787403000000005,575.0,Sep,18,2013,060750152001005,06075,San Francisco,06075015200,587598,060750152001005,06,075,015200,1,1005,15295,363,336,False,0,0
49,lower pac hts,Spacious Junior One Bedroom with City Views ~ J.Wavro,2800.0,1.0,4074738515,-122.42504699999999,SF,/sfc/apa/4074738515.html,37.78713,,Sep,17,2013,060750152001005,06075,San Francisco,06075015200,587598,060750152001005,06,075,015200,1,1005,15295,363,336,False,1,0
50,lower pac hts,The Best in Senior Living,3000.0,0.0,4066126548,-122.42504699999999,SF,/sfc/apa/4066126548.html,37.78713,,Sep,18,2013,060750152001005,06075,San Francisco,06075015200,587598,060750152001005,06,075,015200,1,1005,15295,363,336,False,0,0
51,lower pac hts,The Best in Senior Living,2500.0,0.0,4064578547,-122.42504699999999,SF,/sfc/apa/4064578547.html,37.78713,,Sep,17,2013,060750152001005,06075,San Francisco,06075015200,587598,060750152001005,06,075,015200,1,1005,15295,363,336,False,0,0
52,pacific heights,Spacious Junior One Bedroom with City Views ~ J.Wavro,2800.0,1.0,4075889699,-122.42504699999999,SF,/sfc/apa/4075889699.html,37.78713,,Sep,18,2013,060750152001005,06075,San Francisco,06075015200,587598,060750152001005,06,075,015200,1,1005,15295,363,336,False,1,0
53,richmond / seacliff,New remod.top flat on 22nd Ave.,3800.0,4.0,4076816059,-122.481187,SF,/sfc/apa/4076816059.html,37.775611,,Sep,18,2013,060750477022002,06075,San Francisco,06075047702,593470,060750477022002,06,075,047702,2,2002,19606,210,76,False,0,0
54,lower nob hill,ALL UTILITIES INCLUDED!!Sunny and Spacious STEPS from DT!Not TL,1995.0,0.0,4076670538,-122.41210500000001,SF,/sfc/apa/4076670538.html,37.786865,,Sep,18,2013,060750123022002,06075,San Francisco,06075012302,587103,060750123022002,06,075,012302,2,2002,7724,448,422,False,0,0
78,marina / cow hollow,Beautiful Studio in the Marina,2350.0,0.0,4076767117,-122.44527,SF,/sfc/apa/4076767117.html,37.803492999999996,,Sep,18,2013,060750127001016,06075,San Francisco,06075012700,587254,060750127001016,06,075,012700,1,1016,15337,125,74,False,0,0
79,marina / cow hollow,Gorgeous 2200sf condo with 2 car parking ~ J.Wavro,7950.0,3.0,4074546724,-122.44691,SF,/sfc/apa/4074546724.html,37.803284000000005,,Sep,17,2013,060750127001016,06075,San Francisco,06075012700,587254,060750127001016,06,075,012700,1,1016,15337,125,74,False,0,0
80,,Ocean View Home 3br+familyroom w/ 2 decks! Close to UCSF and Mt. Sutro,4995.0,3.0,4076782225,-122.459616,SF,/sfc/apa/4076782225.html,37.756145000000004,,Sep,18,2013,060750301021012,06075,San Francisco,06075030102,591283,060750301021012,06,075,030102,1,1012,13601,78,31,False,1,0
81,inner sunset / UCSF,Ocean View Home 2 decks! 3br + family room Close to UCSF and Mt. Sutro,4995.0,3.0,4076752227,-122.459616,SF,/sfc/apa/4076752227.html,37.756145000000004,,Sep,18,2013,060750301021012,06075,San Francisco,06075030102,591283,060750301021012,06,075,030102,1,1012,13601,78,31,False,1,0
82,laurel hts / presidio,4 Bedroom in an AWESOME location in the Park,4195.0,4.0,4075860449,-122.456639,SF,/sfc/apa/4075860449.html,37.795237,1390.0,Sep,18,2013,060750601001132,06075,San Francisco,06075060100,593762,060750601001132,06,075,060100,1,1132,595101,609,189,False,0,0
83,downtown / civic / van ness,"One Bedroom Apartment Downtown, Pet Friendly! #402",1745.0,1.0,4075809702,-122.41282700000001,SF,/sfc/apa/4075809702.html,37.785087,,Sep,18,2013,060750123011005,06075,San Francisco,06075012301,587092,060750123011005,06,075,012301,1,1005,15204,1142,676,False,0,0
